,ret,bin,start,data
2015-08-13,0.005893608134551309,1.0,2015-08-06,[208.350006 207.919998 210.630005 208.660004 208.919998 208.699997]
2015-08-20,-0.08225086716952279,-1.0,2015-08-13,[208.699997 209.360001 210.559998 209.929993 208.279999 204.009995]
2015-08-27,-0.037105843801851,-1.0,2015-08-20,[204.009995 197.630005 189.550003 187.229996 194.679993 199.160004]
2015-09-03,0.009251280631268566,-1.0,2015-08-27,[199.160004 199.240005 197.539993 191.770004 195.410004 195.649994]
2015-09-11,0.01728166063633063,1.0,2015-09-04,[192.589996 197.460007 194.759995 195.850006 196.740005]
2015-09-18,-0.009008983369118706,1.0,2015-09-11,[196.740005 195.979996 198.449997 200.139999 199.699997 195.360001]
2015-09-25,-0.006636589584606001,-1.0,2015-09-18,[195.360001 196.440002 193.899994 193.600006 192.929993 192.869995]
2015-10-02,0.022615405128205257,1.0,2015-09-25,[192.869995 187.910004 188.080002 191.589996 192.130005 195.      ]
2015-10-09,-0.010132662691773264,-1.0,2015-10-02,[195.       198.470001 197.789993 199.410004 201.210007 201.330002]
2015-10-16,-0.006985772480232688,-1.0,2015-10-09,[201.330002 201.520004 200.25     199.289993 202.350006 203.270004]
2015-10-23,0.0068427041857612725,1.0,2015-10-16,[203.270004 203.369995 203.110001 201.850006 205.210007 207.520004]
2015-10-30,0.011782869631510984,1.0,2015-10-23,[207.520004 206.990005 206.570007 208.940002 208.889999 207.929993]
2015-11-06,-0.01095023841483378,-1.0,2015-10-30,[207.929993 210.389999 211.       210.380005 210.149994 210.039993]
2015-11-13,0.03056188019123729,1.0,2015-11-06,[210.039993 208.080002 208.559998 207.740005 204.839996 202.539993]
2015-11-30,-0.001629191608326197,1.0,2015-11-23,[209.070007 209.350006 209.320007 209.559998 208.690002]
2015-12-07,-0.026157964209513995,-1.0,2015-11-30,[208.690002 210.679993 208.529999 205.610001 209.619995 208.350006]
2015-12-14,-0.006062080021549954,1.0,2015-12-07,[208.350006 206.949997 205.339996 205.869995 201.880005 202.899994]
2015-12-21,0.017553473670387065,1.0,2015-12-14,[202.899994 205.029999 208.029999 204.860001 200.020004 201.669998]
2015-12-29,-0.03076176559580801,-1.0,2015-12-22,[203.5      206.020004 205.679993 205.210007 207.399994]
2016-01-06,-0.03374914879668012,-1.0,2015-12-30,[205.929993 203.869995 201.020004 201.360001 198.820007]
2016-01-13,-0.004077763024119441,1.0,2016-01-06,[198.820007 194.050003 191.919998 192.110001 193.660004 188.830002]
2016-01-21,0.018801194292129342,1.0,2016-01-14,[191.929993 187.809998 188.059998 185.649994 186.690002]
2016-01-28,0.005552339878629686,1.0,2016-01-21,[186.690002 190.520004 187.639999 190.199997 188.130005 189.110001]
2016-02-04,-0.03220257206046229,-1.0,2016-01-28,[189.110001 193.720001 193.649994 190.160004 191.300003 191.600006]
2016-02-11,0.037843147556364753,1.0,2016-02-04,[191.600006 187.949997 185.419998 185.429993 185.270004 182.860001]
2016-02-19,0.006249984374999906,1.0,2016-02-12,[186.630005 189.779999 192.880005 192.089996 192.      ]
2016-02-26,0.02004205279700777,-1.0,2016-02-19,[192.       194.779999 192.320007 193.199997 195.539993 195.089996]
2016-03-04,-0.005238677027743943,-1.0,2016-02-26,[195.089996 193.559998 198.110001 199.       199.779999 200.429993]
2016-03-18,-0.005724620664335545,-1.0,2016-03-11,[202.759995 202.5      202.169998 203.339996 204.630005 204.380005]
2016-03-28,0.014810051790738799,1.0,2016-03-21,[204.669998 204.559998 203.210007 203.119995 203.240005]
2016-04-04,-0.010812101818181818,-1.0,2016-03-28,[203.240005 205.119995 206.020004 205.520004 206.919998 206.25    ]
2016-04-11,0.02558573128936903,1.0,2016-04-04,[206.25     204.190002 206.419998 203.949997 204.5      204.020004]
2016-04-25,-0.0030679257798383874,-1.0,2016-04-18,[209.240005 209.899994 210.100006 208.970001 208.970001 208.610001]
2016-05-02,-0.010001452084428264,-1.0,2016-04-25,[208.610001 208.919998 209.350006 207.449997 206.330002 207.970001]
2016-05-09,0.004322696606550602,1.0,2016-05-02,[207.970001 206.160004 205.009995 204.970001 205.720001 205.889999]
2016-05-16,-0.0075925718521741015,-1.0,2016-05-09,[205.889999 208.449997 206.5      206.559998 204.759995 206.779999]
2016-05-23,0.022562198928242072,1.0,2016-05-16,[206.779999 204.850006 204.910004 204.199997 205.490005 205.210007]
2016-05-31,0.007196006618299888,1.0,2016-05-24,[207.869995 209.279999 209.339996 210.240005 209.839996]
2016-06-07,-0.015258862938454576,-1.0,2016-05-31,[209.839996 210.270004 210.910004 210.279999 211.350006 211.679993]
2016-06-14,-0.0009132234493007818,-1.0,2016-06-07,[211.679993 212.369995 212.080002 210.070007 208.449997 208.039993]
2016-06-21,-0.04241026633649714,1.0,2016-06-14,[208.039993 207.75     208.369995 206.520004 207.850006 208.440002]
2016-06-28,0.02563979860688681,1.0,2016-06-21,[208.440002 208.100006 210.809998 203.240005 199.600006 203.199997]
2016-07-06,0.017838357000126592,1.0,2016-06-29,[206.660004 209.479996 209.919998 208.410004 209.660004]
2016-07-13,0.00693284019107443,1.0,2016-07-06,[209.660004 209.529999 212.649994 213.399994 214.949997 214.919998]
2016-08-03,0.008650245446163662,1.0,2016-07-27,[216.520004 216.770004 217.119995 216.940002 215.550003 216.179993]
2016-08-10,0.006662364485675143,1.0,2016-08-03,[216.179993 216.410004 218.179993 218.050003 218.179993 217.639999]
2016-08-31,0.007590366924501879,1.0,2016-08-24,[217.850006 217.699997 217.289993 218.360001 218.       217.380005]
2016-09-08,-0.02416364981382213,-1.0,2016-09-01,[217.389999 218.369995 219.029999 219.009995 218.509995]
2016-09-15,-0.008639915499070727,-1.0,2016-09-08,[218.509995 213.279999 216.339996 213.229996 213.149994 215.279999]
2016-09-22,-0.007413141412155988,-1.0,2016-09-15,[215.279999 213.369995 213.410004 213.419998 215.820007 217.179993]
2016-09-29,0.0,1.0,2016-09-22,[217.179993 215.990005 214.240005 215.570007 216.639999 214.679993]
2016-10-06,-0.010890749888269324,-1.0,2016-09-29,[214.679993 216.300003 215.779999 214.679993 215.630005 215.779999]
2016-10-27,-0.010132772061103856,-1.0,2016-10-20,[213.880005 213.979996 214.889999 214.169998 213.740005 213.169998]
2016-11-03,0.02552927495703261,1.0,2016-10-27,[213.169998 212.539993 212.550003 211.009995 209.740005 208.779999]
2016-11-10,0.006269597144289207,1.0,2016-11-03,[208.779999 208.550003 213.149994 214.110001 216.380005 216.919998]
2016-11-17,0.007260591642070713,1.0,2016-11-10,[216.919998 216.419998 216.589996 218.279999 217.869995 218.990005]
2016-11-25,-0.005146257581324476,-1.0,2016-11-18,[218.5      220.149994 220.580002 220.699997 221.520004]
2016-12-02,0.02239627256361021,1.0,2016-11-25,[221.520004 220.479996 220.910004 220.380005 219.570007 219.679993]
2016-12-09,-0.002781290070665743,1.0,2016-12-02,[219.679993 221.       221.699997 224.600006 225.149994 226.509995]
2016-12-16,0.0032439167379461065,1.0,2016-12-09,[226.509995 226.25     227.759995 225.880005 226.809998 225.039993]
2016-12-23,-0.005803965085163454,-1.0,2016-12-16,[225.039993 225.529999 226.399994 225.770004 225.380005 225.710007]
2017-01-03,0.005416453440409086,1.0,2016-12-27,[226.270004 224.399994 224.350006 223.529999 225.240005]
2017-01-25,-0.008799076266090777,-1.0,2017-01-18,[226.75     225.910004 226.740005 226.149994 227.600006 229.570007]
2017-02-01,0.005755197385010069,1.0,2017-01-25,[229.570007 229.330002 228.970001 227.550003 227.529999 227.619995]
2017-02-08,0.015398704078723124,1.0,2017-02-01,[227.619995 227.770004 229.339996 228.929993 228.940002 229.240005]
