Date,High,Low,Close,Open,Volume
2018-11-15 14:34:00,273.5,273.3,273.37,273.38,188537
2018-11-15 14:35:00,273.38,273.12,273.145,273.37,212705
2018-11-15 14:36:00,273.384,273.14,273.15,273.145,135566
2018-11-15 14:37:00,273.49,272.91,272.91,273.49,472757
2018-11-15 14:38:00,273.211,272.76,272.76,272.91,247932
2018-11-15 14:39:00,273.065,272.77,272.91,272.77,165286
2018-11-15 14:40:00,273.01,272.89,272.92,272.89,168420
2018-11-15 14:41:00,272.95,272.81,272.86,272.92,92253
2018-11-15 14:42:00,273.0,272.82,272.82,272.86,193437
2018-11-15 14:43:00,272.89,272.725,272.793,272.82,222214
2018-11-15 14:44:00,272.905,272.79,272.855,272.79,133196
2018-11-15 14:45:00,273.04,272.825,272.99,272.85,133431
2018-11-15 14:46:00,273.15,272.97,273.05,272.99,166289
2018-11-15 14:47:00,273.22,272.923,273.19,273.06,99447
2018-11-15 14:48:00,273.27,273.07,273.14,273.19,170477
2018-11-15 14:49:00,273.29,272.99,273.04,273.13,215046
2018-11-15 14:50:00,273.12,270.135,272.63,273.04,751002
2018-11-15 14:51:00,272.79,272.5,272.53,272.64,431913
2018-11-15 14:52:00,272.888,272.42,272.664,272.53,219088
2018-11-15 14:53:00,272.752,272.45,272.639,272.67,134340
2018-11-15 14:54:00,272.71,272.56,272.685,272.645,162839
2018-11-15 14:55:00,272.741,272.5,272.51,272.67,102235
2018-11-15 14:56:00,272.74,272.42,272.73,272.51,186944
2018-11-15 14:57:00,272.92,272.58,272.69,272.72,178599
2018-11-15 14:58:00,272.8,272.51,272.61,272.69,109947
2018-11-15 14:59:00,272.72,272.59,272.66,272.61,98947
2018-11-15 15:00:00,272.75,272.45,272.6,272.66,221153
2018-11-15 15:01:00,272.6,271.57,271.77,272.595,2221252
2018-11-15 15:02:00,272.6,270.135,271.42,271.76,1859483
2018-11-15 15:03:00,271.754,271.22,271.61,271.42,711881
2018-11-15 15:04:00,271.78,271.372,271.6,271.6,392575
2018-11-15 15:05:00,272.0,271.38,271.97,271.6,580827
2018-11-15 15:06:00,272.06,271.81,272.06,271.98,308829
2018-11-15 15:07:00,272.42,271.793,272.259,272.07,612173
2018-11-15 15:08:00,272.25,271.85,271.97,272.24,383596
2018-11-15 15:09:00,272.34,271.97,272.23,271.97,349435
2018-11-15 15:10:00,272.46,272.087,272.23,272.24,268296
2018-11-15 15:11:00,272.64,272.155,272.56,272.24,300020
2018-11-15 15:12:00,272.78,272.2,272.36,272.56,1025473
2018-11-15 15:13:00,272.7,272.28,272.564,272.33,511746
2018-11-15 15:14:00,272.98,272.48,272.91,272.57,421047
2018-11-15 15:15:00,273.04,272.66,272.74,272.91,295174
2018-11-15 15:16:00,272.82,272.59,272.69,272.75,220281
2018-11-15 15:17:00,272.83,272.55,272.586,272.68,189080
2018-11-15 15:18:00,272.706,270.135,272.26,272.59,811587
2018-11-15 15:19:00,272.4,272.07,272.09,272.27,264041
2018-11-15 15:20:00,272.421,271.85,271.871,272.09,383053
2018-11-15 15:21:00,272.358,271.84,271.86,271.87,309620
2018-11-15 15:22:00,272.127,271.46,271.65,271.85,685130
2018-11-15 15:23:00,271.976,271.61,271.65,271.65,293857
2018-11-15 15:24:00,271.88,271.54,271.801,271.64,284507
2018-11-15 15:25:00,272.03,271.76,272.01,271.8,254199
2018-11-15 15:26:00,272.21,272.0,272.13,272.0,206919
2018-11-15 15:27:00,272.29,271.795,272.19,272.14,174581
2018-11-15 15:28:00,272.189,271.92,271.98,272.18,139123
2018-11-15 15:29:00,272.005,271.7,271.75,272.0,275433
2018-11-15 15:30:00,272.0,271.72,271.86,271.743,235425
2018-11-15 15:31:00,272.16,271.86,272.121,271.86,201154
2018-11-15 15:32:00,272.54,272.014,272.47,272.125,416281
2018-11-15 15:33:00,272.56,272.044,272.32,272.48,217686
2018-11-15 15:34:00,272.34,272.1,272.16,272.31,114860
2018-11-15 15:35:00,272.41,272.118,272.36,272.17,291354
2018-11-15 15:36:00,272.51,272.21,272.27,272.37,435220
2018-11-15 15:37:00,272.44,272.188,272.35,272.27,212157
2018-11-15 15:38:00,272.61,270.649,272.54,272.35,260234
2018-11-15 15:39:00,272.58,270.135,270.135,272.55,659268
2018-11-15 15:40:00,272.71,272.442,272.67,272.53,234858
2018-11-15 15:41:00,272.7,272.44,272.48,272.68,202727
2018-11-15 15:42:00,272.5,272.2,272.285,272.48,252583
2018-11-15 15:43:00,272.347,272.1,272.27,272.347,192296
2018-11-15 15:44:00,272.49,272.24,272.44,272.26,405807
2018-11-15 15:45:00,272.56,272.39,272.47,272.43,230559
2018-11-15 15:46:00,272.47,272.14,272.215,272.46,423199
2018-11-15 15:47:00,272.3,272.09,272.295,272.211,208488
2018-11-15 15:48:00,272.324,272.12,272.24,272.29,264778
2018-11-15 15:49:00,272.36,272.18,272.23,272.235,331295
2018-11-15 15:50:00,272.43,272.2,272.43,272.22,453456
2018-11-15 15:51:00,272.6,272.28,272.6,272.425,521443
2018-11-15 15:52:00,272.73,272.37,272.63,272.6,439272
2018-11-15 15:53:00,272.73,272.618,272.69,272.63,410371
2018-11-15 15:54:00,272.95,272.601,272.79,272.7,892912
2018-11-15 15:55:00,272.85,272.56,272.66,272.78,872414
2018-11-15 15:56:00,272.713,272.56,272.58,272.66,398034
2018-11-15 15:57:00,272.713,272.39,272.465,272.58,558857
2018-11-15 15:58:00,272.642,272.35,272.37,272.46,724276
2018-11-15 15:59:00,273.09,272.36,273.04,272.36,2323492
2018-11-16 09:30:00,272.13,271.58,271.64,271.79,1153813
2018-11-16 09:31:00,272.14,271.63,271.91,271.63,1475725
2018-11-16 09:32:00,272.03,271.7,271.8,271.92,1059338
2018-11-16 09:33:00,272.14,271.72,271.91,271.805,224504
2018-11-16 09:34:00,271.91,271.65,271.66,271.9,206662
2018-11-16 09:35:00,271.75,271.45,271.52,271.66,300530
2018-11-16 09:36:00,271.74,271.33,271.34,271.54,312147
2018-11-16 09:37:00,271.53,271.21,271.45,271.35,372229
2018-11-16 09:38:00,271.55,271.32,271.44,271.42,363814
2018-11-16 09:39:00,271.57,271.33,271.35,271.44,242627
2018-11-16 09:40:00,271.67,271.32,271.48,271.35,676347
2018-11-16 09:41:00,271.715,271.47,271.63,271.48,384922
2018-11-16 09:42:00,271.96,271.63,271.73,271.64,584812
2018-11-16 09:43:00,271.77,271.59,271.6,271.73,269571
2018-11-16 09:44:00,271.82,271.56,271.8,271.61,291246
2018-11-16 09:45:00,272.16,271.658,271.88,271.8,363568
2018-11-16 09:46:00,272.39,271.88,272.31,271.89,364231
2018-11-16 09:47:00,272.34,271.851,271.851,272.3,499864
2018-11-16 09:59:00,272.81,272.418,272.418,272.61,275509
2018-11-16 10:02:00,273.8,272.59,273.8,272.62,414263
2018-11-16 10:49:00,273.637,273.485,273.58,273.54,100356
2018-11-16 10:50:00,273.61,273.37,273.42,273.58,130558
2018-11-16 10:51:00,273.42,273.32,273.35,273.42,124904
2018-11-16 10:52:00,273.465,273.3,273.42,273.36,164826
2018-11-16 10:53:00,273.54,273.415,273.474,273.42,81136
2018-11-16 10:54:00,273.59,273.438,273.54,273.48,82937
2018-11-16 10:55:00,273.59,273.4,273.4,273.531,178927
2018-11-16 10:56:00,273.579,273.007,273.55,273.39,597542
2018-11-16 10:57:00,273.61,273.45,273.51,273.55,106433
2018-11-16 10:58:00,273.52,273.23,273.28,273.5,550165
2018-11-16 10:59:00,273.423,273.18,273.23,273.27,106819
2018-11-16 11:00:00,273.41,273.23,273.35,273.24,182669
2018-11-16 11:01:00,273.36,273.06,273.18,273.35,139327
2018-11-16 11:02:00,273.24,273.13,273.158,273.19,134052
2018-11-16 11:03:00,273.24,271.581,273.23,273.155,2543006
2018-11-16 11:04:00,273.24,273.12,273.21,273.22,89627
2018-11-16 11:05:00,273.33,273.2,273.27,273.21,74270
2018-11-16 11:06:00,273.355,273.007,273.35,273.27,563988
2018-11-16 11:07:00,273.37,273.26,273.29,273.36,95019
2018-11-16 11:08:00,273.316,273.182,273.3,273.29,59756
2018-11-16 11:09:00,273.32,273.13,273.15,273.31,500873
2018-11-16 11:10:00,273.32,273.14,273.19,273.16,84667
2018-11-16 11:11:00,273.25,273.08,273.095,273.19,136845
2018-11-16 11:12:00,273.16,272.93,272.985,273.1,170104
2018-11-16 11:13:00,273.155,272.81,272.86,272.996,392424
2018-11-16 11:14:00,272.96,272.83,272.957,272.85,151788
2018-11-16 11:15:00,273.03,272.895,272.94,272.95,96572
2018-11-16 11:16:00,273.09,272.94,273.0,272.94,170065
2018-11-16 11:17:00,273.07,272.95,273.02,273.0,158251
2018-11-16 11:18:00,273.11,273.01,273.09,273.01,69121
2018-11-16 11:19:00,273.1,272.92,272.92,273.09,85340
2018-11-16 11:20:00,272.95,272.77,272.82,272.91,172432
2018-11-16 11:21:00,272.85,272.53,272.59,272.825,155588
2018-11-16 11:22:00,272.798,272.58,272.76,272.585,147292
2018-11-16 11:23:00,272.83,272.703,272.76,272.76,93075
2018-11-16 11:24:00,273.007,272.73,272.76,272.76,566211
2018-11-16 11:25:00,272.8,272.72,272.76,272.76,76317
2018-11-16 11:26:00,272.87,272.717,272.85,272.77,102705
2018-11-16 11:27:00,273.02,272.796,272.94,272.86,108227
2018-11-16 11:28:00,272.96,272.765,272.88,272.94,79529
2018-11-16 11:29:00,272.965,272.75,272.77,272.88,122315
2018-11-16 11:30:00,272.99,272.77,272.83,272.77,192848
2018-11-16 11:31:00,272.94,272.67,272.7,272.83,172310
2018-11-16 11:32:00,272.71,272.5,272.53,272.71,215036
2018-11-16 11:33:00,272.693,272.36,272.54,272.53,368037
2018-11-16 11:34:00,272.73,272.52,272.56,272.54,165559
2018-11-16 11:35:00,272.695,272.555,272.65,272.56,111045
2018-11-16 11:36:00,273.007,272.6,272.69,272.65,547975
2018-11-16 11:37:00,273.007,272.63,273.007,272.69,626909
2018-11-16 11:38:00,272.75,272.585,272.66,272.66,102360
2018-11-16 11:39:00,272.73,272.52,272.62,272.66,126747
2018-11-16 11:40:00,276.0,272.49,272.55,272.63,630454
2018-11-16 11:41:00,272.587,272.34,272.41,272.56,142452
2018-11-16 11:42:00,272.553,272.3,272.3,272.4,69027
2018-11-16 11:43:00,272.42,272.31,272.4,272.32,167604
2018-11-16 11:44:00,272.42,272.32,272.38,272.4,86179
2018-11-16 11:45:00,272.53,272.37,272.49,272.385,111052
2018-11-16 11:46:00,272.5,272.3,272.41,272.5,107432
2018-11-16 11:47:00,272.5,272.33,272.47,272.41,115607
2018-11-16 11:48:00,272.47,272.36,272.44,272.46,159607
2018-11-16 11:49:00,272.455,272.35,272.36,272.442,37805
2018-11-16 11:50:00,272.42,272.2,272.31,272.368,125529
2018-11-16 11:51:00,272.4,272.23,272.26,272.3,72175
2018-11-16 11:52:00,272.38,272.14,272.15,272.27,224666
2018-11-16 11:53:00,272.15,272.05,272.08,272.15,187716
2018-11-16 11:54:00,272.34,272.0,272.215,272.09,589702
2018-11-16 11:55:00,272.31,272.19,272.26,272.21,285313
2018-11-16 11:56:00,272.29,272.16,272.188,272.26,181268
2018-11-16 11:57:00,272.35,272.183,272.34,272.19,148198
2018-11-16 11:58:00,272.63,272.34,272.54,272.36,315346
2018-11-16 11:59:00,272.59,272.33,272.35,272.54,127080
2018-11-16 12:00:00,272.52,272.35,272.435,272.36,130651
2018-11-16 12:01:00,272.485,272.38,272.445,272.439,49590
2018-11-16 12:02:00,272.48,272.176,272.176,272.45,260870
2018-11-16 12:03:00,272.23,272.02,272.08,272.18,148855
2018-11-16 12:04:00,272.37,272.07,272.22,272.07,91090
2018-11-16 12:05:00,272.51,272.2,272.46,272.21,404023
2018-11-16 12:06:00,272.6,272.318,272.59,272.448,178228
2018-11-16 12:07:00,272.64,272.44,272.46,272.58,116190
2018-11-16 12:08:00,272.61,272.378,272.58,272.47,75613
2018-11-16 12:09:00,272.8,272.57,272.745,272.58,136795
2018-11-16 12:10:00,272.88,272.68,272.735,272.74,186378
2018-11-16 12:11:00,272.74,272.62,272.62,272.73,110718
2018-11-16 12:12:00,272.66,272.6,272.61,272.63,18130
2018-11-16 12:13:00,272.68,272.54,272.63,272.61,115072
2018-11-16 12:14:00,272.72,272.526,272.72,272.61,123569
2018-11-16 12:15:00,272.71,272.53,272.64,272.705,96065
2018-11-16 12:16:00,272.72,272.36,272.395,272.64,130094
2018-11-16 12:17:00,272.44,272.3,272.38,272.39,94671
2018-11-16 12:18:00,272.57,272.37,272.56,272.4,116998
2018-11-16 12:19:00,272.71,272.51,272.53,272.56,98398
2018-11-16 12:20:00,272.6,272.512,272.58,272.53,33431
2018-11-16 12:21:00,272.58,272.43,272.504,272.57,41027
2018-11-16 12:22:00,272.67,272.4,272.63,272.51,79811
2018-11-16 12:23:00,272.71,272.58,272.63,272.62,67571
2018-11-16 12:24:00,272.64,272.5,272.58,272.63,52790
2018-11-16 12:25:00,272.6,272.44,272.51,272.58,115791
2018-11-16 12:26:00,272.59,272.43,272.51,272.52,44615
2018-11-16 12:27:00,272.58,272.34,272.425,272.51,111768
2018-11-16 12:28:00,272.504,272.19,272.26,272.454,76676
2018-11-16 12:29:00,272.286,272.11,272.141,272.26,75308
2018-11-16 12:30:00,272.23,272.02,272.09,272.144,136707
2018-11-16 12:31:00,272.16,272.07,272.12,272.09,65878
2018-11-16 12:32:00,272.15,272.03,272.1,272.126,66498
2018-11-16 12:33:00,272.29,272.09,272.29,272.12,97718
2018-11-16 12:34:00,273.06,271.85,273.04,272.28,912925
2018-11-16 12:35:00,273.61,272.83,273.6,273.05,1267039
2018-11-16 12:36:00,273.61,273.33,273.478,273.57,740726
2018-11-16 12:37:00,274.04,273.45,273.87,273.46,668705
2018-11-16 12:38:00,273.905,273.66,273.76,273.87,347941
2018-11-16 12:39:00,273.79,273.52,273.575,273.76,255705
2018-11-16 12:40:00,273.77,273.239,273.65,273.58,284913
2018-11-16 12:41:00,273.8,273.007,273.7,273.655,1178888
2018-11-16 12:42:00,273.99,273.64,273.96,273.71,371485
2018-11-16 12:43:00,274.1,273.767,273.86,273.965,355106
2018-11-16 12:44:00,273.89,273.61,273.65,273.86,258067
2018-11-16 12:45:00,274.26,273.655,274.21,273.66,805854
2018-11-16 12:46:00,274.3,273.94,274.24,274.22,353064
2018-11-16 12:47:00,274.69,274.22,274.63,274.245,904056
2018-11-16 12:48:00,274.75,274.44,274.46,274.64,867709
2018-11-16 12:49:00,274.51,274.28,274.34,274.46,273762
2018-11-16 12:50:00,274.387,273.007,274.165,274.34,814839
2018-11-16 12:51:00,274.18,274.03,274.14,274.155,129190
2018-11-16 12:52:00,274.471,273.92,273.92,274.145,177412
2018-11-16 12:53:00,274.269,273.888,273.95,273.95,226280
2018-11-16 12:54:00,274.0,273.82,273.84,273.95,197674
2018-11-16 12:55:00,273.981,273.69,273.82,273.85,231656
