Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,193.960007,194.020004,192.690002,193.639999,179.677414,1387600
2015-03-04,193.000000,193.050003,191.729996,192.830002,178.925827,1497500
2015-03-05,193.149994,193.330002,192.479996,193.039993,179.120667,1135700
2015-03-06,192.000000,192.550003,189.940002,190.309998,176.587540,1815400
2015-03-09,190.520004,191.470001,190.419998,191.119995,177.339142,1131500
2015-03-10,189.570007,189.630005,187.970001,187.979996,174.425522,2390000
2015-03-11,188.259995,188.470001,187.470001,187.539993,174.017258,1857400
2015-03-12,188.210007,190.000000,188.199997,189.960007,176.262772,2646900
2015-03-13,189.679993,189.789993,187.619995,188.800003,175.186432,1792200
2015-03-16,189.589996,191.380005,189.550003,191.380005,177.580414,1054100
2015-03-17,190.479996,191.130005,189.830002,190.729996,176.977280,1460700
2015-03-18,190.169998,193.759995,189.490005,193.000000,179.083588,2287400
2015-03-19,192.559998,192.850006,191.750000,192.110001,178.257751,1372000
2015-03-20,193.190002,194.389999,193.130005,193.850006,179.872269,1350100
2015-03-23,192.850006,193.490005,192.490005,192.520004,179.549622,704800
2015-03-24,192.380005,192.850006,191.330002,191.399994,178.505035,1587000
2015-03-25,191.639999,191.869995,188.570007,188.610001,175.903030,1216400
2015-03-26,187.880005,189.149994,187.149994,188.139999,175.464691,1906100
2015-03-27,188.039993,188.779999,187.830002,188.529999,175.828415,1837000
2015-03-30,189.750000,191.190002,189.720001,190.880005,178.020111,1414500
2015-03-31,189.979996,191.779999,189.169998,189.199997,176.453278,2764800
2015-04-01,189.169998,189.169998,187.470001,188.589996,175.884369,3379700
2015-04-02,188.470001,189.690002,188.270004,189.149994,176.406631,1803500
2015-04-06,188.229996,191.039993,188.089996,190.479996,177.647003,1241900
2015-04-07,190.479996,191.330002,189.970001,189.970001,177.171417,1371300
2015-04-08,190.240005,191.059998,189.809998,190.660004,177.814911,1412000
2015-04-09,190.449997,191.710007,189.960007,191.490005,178.588989,794300
2015-04-10,191.740005,192.570007,191.539993,192.539993,179.568237,1056800
2015-04-13,192.360001,193.039993,191.600006,191.669998,178.756866,1227500
2015-04-14,191.419998,192.220001,190.770004,192.020004,179.083313,2647800
2015-04-15,192.539993,193.419998,192.449997,192.899994,179.904007,934900
2015-04-16,192.550003,193.369995,192.300003,192.830002,179.838715,823300
2015-04-17,191.529999,191.770004,189.750000,190.589996,177.749619,2059200
2015-04-20,191.669998,192.699997,191.550003,192.330002,179.372406,1430100
2015-04-21,193.110001,193.259995,191.800003,192.139999,179.195236,1089500
2015-04-22,192.490005,193.279999,191.500000,193.089996,180.081192,1125400
2015-04-23,192.649994,194.259995,192.500000,193.589996,180.547531,956100
2015-04-24,194.020004,194.289993,193.520004,193.979996,180.911255,978300
2015-04-27,194.630005,194.740005,193.000000,193.210007,180.193100,898200
2015-04-28,193.169998,193.850006,191.940002,193.809998,180.752701,1103800
